bids,brand,character,era,franchise,price,sell_date,size,title,toy_type,year
1,Hasbro,Optimus Prime,2002-Now,Transformers,199.0,"Oct 10, 2019",,TRANSFORMERS BOTCON 2012 SG OPTIMUS PRIME & KICK OUT KICK-OUT MISB NEW SEALED,Action Figure,2012
0,,,1980-2001,,11.99,"Oct 10, 2019",,transformers g1 original vintage technobots computron nosecone,Action Figure,
0,THF,Robot,2002-Now,Transformers,59.99,"Oct 10, 2019",10cm,THF Soundwave Tape Corps 6 Transformers Masterpiece Scale US 🇺🇸 Seller MP-13,Action Figure,2017
0,Hasbro,Nightcrawler,2002-Now,X-Men,16.99,"Oct 10, 2019",6in.,MARVEL LEGENDS NIGHTCRAWLER X-MEN WENDIGO ARM BUILD A FIGURE BAF WAVE 6” FIGURE,Action Figure,2019
0,Hasbro,Captain Marvel,2002-Now,Marvel Universe,33.99,"Oct 10, 2019",6in.,"Marvel Legends 6"" Monica Rambeau Captain Marvel A-Force TRU Exclusive Figure",Action Figure,
1,ToyBiz,Madame Web,1980-2001,Spider-Man,19.99,"Oct 10, 2019",6 In, Spider-Man Sneak Attack COMPLETE SET NEW IN BOX 1998 Toybiz NIB,Action Figure,1998
0,Hasbro,Iron Fist,,Marvel Universe,20.0,"Oct 10, 2019",6in.,"IRON FIST Marvel Legends 6"" figure Dormammu BAF Wave The Defenders",Action Figure,
15,DC,,,,30.88,"Oct 10, 2019",6in.,DC Universe Classics Wave 16 AZRAEL Batman 100% Complete Mint multiverse ,Action Figure,
0,JAKKS Pacific,Batman,,Batman,35.0,"Oct 10, 2019",18in.,JAKKS PACIFIC BATMAN 1/4 SCALE FIGURE 18 INCH,Action Figure,
0,McFarlane Toys,Eternal Clan Dragon,2002-Now,,26.21,"Oct 10, 2019",,McFarlane's Dragona Eternal Clan Dragon Quest For The Lost King NIP NEW 2004,Action Figure,2004
0,Hasbro,,,,20.97,"Oct 10, 2019",6in.,AIM SCIENTIST - MARVEL LEGENDS LOOSE/NEW FROM 2-PACK COMPLETE TROOPER SOLDIER,Action Figure,
4,Mattel,Winston Zeddemore,2002-Now,Ghostbusters,16.5,"Oct 10, 2019",8in.,Mattel Retro Ghostbusters Winston Zeddemore Collector Action Figure,Action Figure,2010
6,Hasbro,Wicket,2002-Now,Star Wars,36.0,"Oct 10, 2019",3.75in.,STAR WARS VINTAGE COLLECTION VC27 WICKET THE EWOK FIGURE NEW,Action Figure,2012
0,Hasbro,Boba Fett,,,40.0,"Oct 10, 2019",,Hasbro Star Wars The Black Series #06 Boba Fett Action Figure AUTHENTIC,,2013
0,WWE / WWF,EL TORITO,2002-Now,,10.99,"Oct 10, 2019",5in,EL TORITO wwe wrestling FIGURE by MATTEL raw smackdown lucha libre LOW PRICE !,Action Figure,2014
0,Diamond Select,Devil,,Nightmare Before Christmas,25.0,"Oct 10, 2019",7in.,Diamond Select Nightmare Before Christmas 25 Years ** DEVIL & UNDERSEA GAL **,Action Figure,
0,Kenner,Boba Fett,1980-2001,Star Wars,43.99,"Oct 10, 2019",3.75in.,Vintage Star Wars Boba Fett~👀~COMPLE,Action Figure,1977
0,Kenner,C-3PO,Pre-1980,Star Wars,26.99,"Oct 10, 2019",12in.,"Vintage Star Wars C-3P0 12"" Action Figure Kenner 1978",Action Figure,1978
0,NECA Toys,Xenomorph Warrior,,Alien,35.0,"Oct 10, 2019",7 inch Scale,Aliens: Private William Hudson vs. Xenomorph Warrior 2-pack Action Figure,Action Figure,2013
6,DC,,,,13.5,"Oct 10, 2019",6in.,DC Universe Classics Wave 3 NIGHTWING 100% Complete Mint multiverse batman ,Action Figure,
0,Kenner,IG-88,1980-2001,Star Wars,24.99,"Oct 10, 2019",3.75in.,Vintage 1980 Star Wars ESB IG-88 Bounty Hunter Kenner Action Figure - Complete ,Action Figure,1980
0,Takara,,1980-2001S,,62.99,"Oct 10, 2019",12in.,"BBI/Takara JET Cy (Cool) Girls 12"" Figure CY Girls PLUS 2 FREE VINTAGE CARDS",Action Figure,2000
2,Hasbro,Bumblebee,2002-Now,Transformers,20.99,"Oct 10, 2019",5.5in.,BUMBLEBEE PREMIER EDITION TRANSFORMERS THE LAST KNIGHT,Action Figure,2016
1,Hasbro,,,,3.5,"Oct 10, 2019",10in.,Spiderman action figure talking & light up by Hasbro 10 inch,Action Figure,
0,DC Comics,,,,17.95,"Oct 10, 2019",,1998 DC Comics Batman Action Figures - Lot of 6 -  Kenner. Catwoman Gordon Robin,Action Figure,1998
2,Playmates Toys,Villain,2002-Now,Teenage Mutant Ninja Turtles,5.5,"Oct 10, 2019",4.5in.,Viacom Playmates TMNT Teenage Mutant Ninja Turtles Vintage Kitbash Lot.,Action Figure,
0,Hasbro,A.I.M. 2-PACK,2002-Now,Avengers,37.99,"Oct 10, 2019",6 INCH LINE,"A.I.M SCIENTIST & TROOPER 2-Pack 6"" Figures Marvel Legends Exclusive AIM Soldier",Action Figure,2018
0,Mattel,,2002-Now,,30.0,"Oct 10, 2019",7in.,WWE- AJ STYLES Elite NETWORK SPOTLIGHT Series Wrestling Figure HTF VERY RARE,Action Figure,
0,NECA,,2002-Now,The Fiend,60.0,"Oct 10, 2019",8in.,Neca Misfits Clothed Figure the Fiend with Red Cloak Sealed,Action Figure,2014
5,2017 NFL Legends  Series 3 Bobbleheads,,,,15.5,"Oct 10, 2019",,Lynn Swann (Pittsburgh Steelers) 2017 NFL Legends Series 3 Bobblehead by FOCO,,
0,Tokidoki,,,,4.76,"Oct 10, 2019",3in.,"Tokidoki UNICORNO SERIES 6 SUNDAE 3"" Mini Vinyl Figure Toy Opened Blind Box",Action Figure,2017
0,tokidoki,,,,15.0,"Oct 10, 2019","3""",SDCC 2019 Tokidoki Exclusive Metallico Series 4 Unicorno Figure - PALLINA,,2019
