,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
4111,4111,0,Jakks Pacific,Sports,Jeff Jarrett,Used,,WWE,,113874524456,14.99,1,"Oct 11, 2019",,tna impact jeff jarrett jakks pacific deluxe series 1 double j wwe wwf nwo 2000,Action Figure,2000,BIN
4112,4112,0,Hasbro,"TV, Movie & Video Games",,Used,,,,223701859347,24.32,1,"Oct 11, 2019",6in.,star wars tbs 6 inch order 66 coruscant guard phase ii shocktrooper clone loose,Action Figure,,BIN
4113,4113,0,DC,Comic Book Heroes,Superman,New,,DC Universe,,223658625732,24.99,1,"Oct 11, 2019",7in.,dc icons - superman (rebirth) - sealed - light wear,Action Figure,2018,BIN
4114,4114,0,Funko,"TV, Movie & Video Games",,Used,,Five Nights at Freddys,,362770765095,1.45,1,,3in.,twisted freddy - fnaf series 3 twisted ones funko mystery mini vinyl figure,Action Figure,,BIN
4115,4115,6,Unbranded,"TV, Movie & Video Games",,New,,,,254381078808,85.0,1,"Oct 11, 2019",,"star wars the original trilogy action figures, new",Action Figure,,Auction
4116,4116,0,Big Bang Theory,"TV, Movie & Video Games",Leonard Hofstadter,New,,Big,,143405671503,17.0,1,"Oct 11, 2019",8in.,"big bang theory leonard hofstadter retro clothed 8"" action figure 2014 emce toys",Action Figure,2014,BIN
4117,4117,6,DC,Comic Book Heroes,The Flash,Used,,Justice League,,323937170975,10.5,1,"Oct 11, 2019",6in.,dc collectibles essentials the flash 100% complete mint justice league,Action Figure,,Auction
4118,4118,0,Star Wars,"TV, Movie & Video Games",,New,2002-Now,Star Wars,,153551019414,12.99,120,,3.75in.,star wars the vintage collection 3 3/4 inch action figures variety (nib),Action Figure,2018,BIN
4119,4119,0,LJN,Sports,,New,1980-2001,WWE,,233360375674,315.0,1,"Oct 11, 2019",8in.,wwf ljn wrestling superstars hercules hernandez moc,Action Figure,1985,BIN
4120,4120,12,Mattel,Military & Adventure,Big Jim,Used,,Big Jim,,113920180841,40.0,1,"Oct 11, 2019",10in.,mattel vintage big jim mega lot clothes weapons figure accessories & more!!!,Action Figure,1971,Auction
4121,4121,0,Unspecified,"TV, Movie & Video Games",Clone Trooper,Used,,,,233366984497,40.0,1,"Oct 11, 2019",,star wars 501st clone trooper lot of 3 loose action figures commander appo,Action Figure,,BIN
4122,4122,0,WWE,Sports,,New,,,,254364680485,3.99,9,,,wwe mattel action figure accessory divas women's title belt elite loose,,,BIN
4123,4123,0,Hasbro,Transformers & Robots,Ravage,New,,Transformers,,223618464847,28.99,62,,,transformers g1 reissue cassette set decepticon ravage rumble walmart exclusive ,,,BIN
4124,4124,0,Hasbro,Military & Adventure,,New,,,,230532579607,19.99,421,,,storm shadow gi joe action figure (on creased cards) by funskool,Action Figure,,BIN
4125,4125,0,Hasbro,Comic Book Heroes,Silver,Used,2002-Now,Marvel Universe,,183939693839,10.0,1,"Oct 11, 2019",6in.,marvel legends silver sable head only spider-man into the spider-verse loose,Action Figure,2018,BIN
4126,4126,0,Hasbro,"TV, Movie & Video Games",Boba Fett,New,2002-Now,Star Wars,,323819808152,24.95,1,"Oct 11, 2019",3.75in.,star wars original trilogy collection boba fett action figure (episode 6 rotj),Action Figure,2004,BIN
4127,4127,0,Unbranded,"TV, Movie & Video Games",Striker Eureka,New,2002-Now,Pacific Rim,,362694745470,22.99,38,,7in.,"pacific rim series 1 jaeger striker eureka 7"" action figure toy new box package",Action Figure,,BIN
4128,4128,0,Funko,"TV, Movie & Video Games",,New,,,,333355550371,13.5,1,,,funko rocks 133 panic! at the disco brendon urie hot topic,,,BIN
4129,4129,2,Hasbro,"TV, Movie & Video Games",Sith Trooper,New,,Star Wars,,323938193160,26.0,1,"Oct 11, 2019",6in.,star wars black series rise of skywalker sith trooper (white box),Action Figure,2019,Auction
4130,4130,0,Playmates Toys,"TV, Movie & Video Games",Bebop,Used,1980-2001,Teenage Mutant Ninja Turtles,,193149343046,54.99,1,"Oct 11, 2019",5in.,teenage mutant ninja turtles tmnt warrior bebop 1994 weapon and trophy original,Action Figure,1994,BIN
4131,4131,5,Hasbro,"TV, Movie & Video Games",Chewbacca,New,2002-Now,Star Wars,,153672361119,25.01,1,"Oct 11, 2019",6in.,"star wars chewbacca 6"" action figure chewie tbs 40th anniversary new",Action Figure,2016,Auction
4132,4132,1,Kenner,"TV, Movie & Video Games",Droid,Used,,Star Wars,,333352538756,0.99,1,"Oct 11, 2019",3.75in.,vintage 1977 star wars death star droid & 1980 empire strikes back ugnaught,Action Figure,1977,Auction
4133,4133,0,Jakks Pacific,Sports,,New,,,,163875386644,14.99,1,"Oct 11, 2019",,wwe jakks pacific lex luger classic superstars collector series 15 action figure,,,BIN
4134,4134,0,Unbranded,Transformers & Robots,Megatron,New,,Transformers,,254084368553,17.59,61,,,model model-001 mp-36 masterpiece megatron upgrade kit with light-up head,Action Figure,,BIN
4135,4135,0,PHICEN TBLeague,Military & Adventure,,New,,,,163872850554,67.0,3,,10in., tbleague phicen 1/6 female seamless body s32a s33b long leg m bust figure ❶usa❶,Action Figure,2019,BIN
4136,4136,0,Hasbro,"TV, Movie & Video Games",,Used,2002-Now,Star Wars,,193141769917,45.0,1,"Oct 11, 2019",3.75in.,star wars 30th anniversary rav bralor (republic elite forces mandalorian),Action Figure,,BIN
