,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
2643,11,Hasbro,Comic Book Heroes,Colossus,New,2002-Now,X-Men,,303309756723,41.0,1,"Oct 11, 2019",6in.,Marvel Legends Colossus 80th Anniversary from 2 pack Mint and Complete Loose,Action Figure,2019
2644,0,Hasbro,Military & Adventure,,Used,,GI Joe,,362704658246,18.77,1,"Oct 11, 2019","3.75""",1989 Track Viper v1 GI Joe Incomplete ,Action Figure,1989
2645,0,Hasbro,Transformers & Robots,transformers,New,,transformers,,113124677513,34.9,15,,31cm*9cm*7cm,Hasbro Engraving G1 optimus prime + car carriage color metal deformation toy box,Transformers Action Figure,2016-NOW
2646,0,Hasbro,Military & Adventure,TARGAT,Used,,GI Joe,,163902485303,5.25,1,"Oct 11, 2019",,Vintage 1989 G.I. Joe Cobra T.A.R.G.A.T. Action Figure,Action Figure,1989
2647,0,Revoltech,Comic Book Heroes,Wolverine,New,,X-Men,,293261482388,18.99,9,,,brand new Anime Revoltech Amazing Yamaguchi Wolverine Action Figure X-Men Toy Ne,,
2648,0,JAKKS Pacific,Sports,Big Show,Used,2002-Now,,,223682502626,8.0,1,"Oct 11, 2019","7""",Big Show WWE 2005 Jakks Wrestlemania 21 action figure,Action Figure,2005
2649,0,Kenner,"TV, Movie & Video Games",Raptor,New,1980-2001,Jurassic Park,,183987694867,39.99,1,"Oct 11, 2019",,"The Lost World Jurassic Park Velociraptor ""Raptor"" action figure toy sealed moc",Action Figure,1996
2650,0,BANPRESTO,Anime & Manga,,Used,,,,264413898140,14.98,1,"Oct 11, 2019",,Chika Takami Love Live Sunshine EXQ Figure SHIPS FROM USA!,Action Figure,
2651,10,Hasbro,Military & Adventure,Yogi Bear,Used,,GI Joe,,113915348708,11.5,1,"Oct 11, 2019",3.5in.,GI JOE Skydive 1990 Tight Joints Glossy Paint,Action Figure,1989
2652,3,Hasbro,Transformers & Robots,Starscream,New,2002-Now,Transformers,,293262546889,63.0,1,"Oct 11, 2019",,Transformers Hunt For The Decepticons Leader Starscream MISB. See Pics HFTD,Action Figure,2009
