,bids,brand,category,character,condition,era,franchise,gender,price,quantity_sold,sell_date,size,title,toy_type,year,format
4047,0,ThreeA,Designer & Urban Vinyl,Judge Dredd,New,2002-Now,,,170.0,1,"Oct 10, 2019",1/12,3A THREEA 1/12 2000AD JUDGE DREDD 03 NEW,Action Figure,2017,BIN
4048,0,Mattel,"TV, Movie & Video Games",Batman,New,,BATMAN V SUPERMAN,,19.99,1,"Oct 10, 2019",6in.,DC COMICS MULTIVERSE BATMAN V SUPERMAN BATMAN UNMASKED BAF GRAPNEL BLASTER NIP,Action Figure,,BIN
4049,1,,Military & Adventure,,Used,,,,9.99,1,"Oct 10, 2019",,GI Joe Action Figure 25th/POC 30th 50th Cobra #2,Action Figure,,Auction
4050,1,,Military & Adventure,,Used,,,,9.99,1,"Oct 10, 2019",,GI Joe Action Figure 25th/POC 30th 50th Cobra Baroness Girl w Case,Action Figure,,Auction
4051,1,Mattel,Mixed Lots,Gambit,Used,,X-Men,,36.0,1,"Oct 10, 2019",7,Marvel Select X-MEN figure LOT GAMBIT - Regular & Variant,Action Figure,,Auction
4052,0,Marvel Legends,Comic Book Heroes,Proxima Midnight,New,2002-Now,Marvel Universe,,20.99,1,"Oct 10, 2019",6in.,Marvel Legends Infinity War Proxima Midnight Figure with Thanos Torso BAF NIB,Action Figure,2018,BIN
4053,1,Mattel,Other Action Figures,,New,,,,5.2,1,"Oct 10, 2019",,WWE Mattel Elite Collection Big Show Series 10,Action Figure,,Auction
4054,0,Star Wars,"TV, Movie & Video Games",,New,2002-Now,Star Wars,,19.99,20,,,Star Wars The Black Series 6-inch Imperial Patrol Trooper,Action Figure,,BIN
4055,0,Unbranded,Transformers & Robots,Ultra Magnus,New,,Transformers,,24.68,7,,5.3 in,Transformers Toy MF-48 City Commander 2.0 mini Ultra Magnus IN STOCK,Action Figure,2019,BIN
4056,0,Hasbro,Comic Book Heroes,,New,,Marvel Universe,,27.0,8,"Oct 10, 2019",,"2019 Hasbro Marvel Legends 80 Years PUNISHER 6"" Inch Figure MOC IN STOCK",Action Figure,,BIN
4057,0,Mattel,"TV, Movie & Video Games",Zoar,Used,1980-2001,Masters of the Universe,,40.0,1,"Oct 10, 2019",,"MOTU, Zoar, Masters of the Universe, vintage, complete, He Man, figure, perch",Action Figure,1980's,BIN
4058,0,Hasbro,Transformers & Robots,,New,2002-Now,Transformers,,52.0,1,"Oct 10, 2019",,Transformers Generations War for Cybertron Siege Ratchet Exclusive MISB,Action Figure,2019,BIN
4059,24,Bandai,Comic Book Heroes,,Used,,,,39.0,1,"Oct 10, 2019",6in.,Bandai Mighty Morphin Power Rangers Legacy 6inch Lot RED BLUE BLACK PINK YELLOW ,Action Figure,,Auction
4060,9,Hasbro,Military & Adventure,Wildcard,Used,,GI Joe,,27.01,1,"Oct 10, 2019",3.75in.,GI Joe ARAH Hasbro 1988 Wildcard Mean Dog Driver 100% Complete & Original,Action Figure,1988,Auction
4061,14,LJN,Sports,Hulk Hogan,Used,,,,15.0,1,"Oct 10, 2019",,Hulk Hogan WWF LJN Titan Sports 1984 Loose Action Figure Rare. Used condition ,Action Figure,1984,Auction
4062,3,ToyBiz,Comic Book Heroes,,New,,Spider-Man,,7.63,1,"Oct 10, 2019",6in.,Toybiz (2001) Spider-Man Classics (pre-Legends) Series 2 DAREDEVIL VARIANT (MOC),,2001,Auction
4063,0,Kidrobot,Designer & Urban Vinyl,,New,,,,17.56,1,,3in.,"Kidrobot SOUTH PARK Mini Series 2 TWEEK 3"" Vinyl Figure Opened Blind Box",Action Figure,2019,BIN
4064,9,Kenner,"TV, Movie & Video Games",,Used,1980-2001,Star Wars,,37.0,1,"Oct 10, 2019",3.75in.,(2) Vintage Star Wars 1980 Loose Action Figures Bespin Luke Skywalker & Yoda,Action Figure,,Auction
